Half-Edges:
  [0] origin = -1, next = 98, face = 16, twin = 1
  [40] origin = 17, next = 86, face = 10, twin = 41
  [41] origin = 5, next = 99, face = 49, twin = 40
  [42] † origin = -1, next = -1, face = -1, twin = 43
  [43] † origin = -1, next = -1, face = -1, twin = 42
  [44] † origin = -1, next = -1, face = -1, twin = 45
  [45] † origin = -1, next = -1, face = -1, twin = 44
  [46] † origin = -1, next = -1, face = -1, twin = 47
  [47] † origin = -1, next = -1, face = -1, twin = 46
  [48] † origin = -1, next = -1, face = -1, twin = 49
  [49] † origin = -1, next = -1, face = -1, twin = 48
  [50] origin = 8, next = 64, face = 26, twin = 51
  [51] origin = 10, next = 54, face = 20, twin = 50
  [52] origin = 8, next = 74, face = 8, twin = 53
  [53] origin = 11, next = 50, face = 26, twin = 52
  [54] origin = 8, next = 67, face = 20, twin = 55
  [55] origin = 12, next = 78, face = 4, twin = 54
  [56] † origin = -1, next = -1, face = -1, twin = 57
  [57] † origin = -1, next = -1, face = -1, twin = 56
  [58] origin = 9, next = 7, face = 13, twin = 59
  [59] origin = 14, next = 93, face = 28, twin = 58
  [60] † origin = -1, next = -1, face = -1, twin = 61
  [61] † origin = -1, next = -1, face = -1, twin = 60
  [62] † origin = -1, next = -1, face = -1, twin = 63
  [63] † origin = -1, next = -1, face = -1, twin = 62
  [64] origin = 10, next = 53, face = 26, twin = 65
  [65] origin = 11, next = 5, face = 46, twin = 64
  [66] origin = 10, next = 72, face = 47, twin = 67
  [67] origin = 12, next = 51, face = 20, twin = 66
  [68] origin = 6, next = 134, face = 3, twin = 69
  [69] origin = -1, next = 24, face = 5, twin = 68
  [70] † origin = -1, next = -1, face = -1, twin = 71
  [71] † origin = -1, next = -1, face = -1, twin = 70
  [72] origin = 12, next = 83, face = 47, twin = 73
  [73] origin = 13, next = 76, face = 19, twin = 72
  [74] origin = 11, next = 80, face = 8, twin = 75
  [75] origin = 9, next = 128, face = 44, twin = 74
  [76] origin = 12, next = 10, face = 19, twin = 77
  [77] origin = 15, next = 55, face = 4, twin = 76
  [78] origin = 8, next = 77, face = 4, twin = 79
  [79] origin = 15, next = 6, face = 7, twin = 78
  [80] origin = 9, next = 52, face = 8, twin = 81
  [81] origin = 8, next = 58, face = 13, twin = 80
  [82] origin = 10, next = 87, face = 45, twin = 83
  [83] origin = 13, next = 66, face = 47, twin = 82
  [84] † origin = -1, next = -1, face = -1, twin = 85
  [85] † origin = -1, next = -1, face = -1, twin = 84
  [86] origin = 5, next = 38, face = 10, twin = 87
  [87] origin = 13, next = 4, face = 45, twin = 86
  [88] origin = 14, next = 79, face = 7, twin = 89
  [89] origin = 15, next = 35, face = 1, twin = 88
  [90] † origin = -1, next = -1, face = -1, twin = 91
  [91] † origin = -1, next = -1, face = -1, twin = 90
  [92] origin = 19, next = 124, face = 0, twin = 93
  [93] origin = 9, next = 34, face = 28, twin = 92
  [94] origin = 19, next = 89, face = 1, twin = 95
  [95] origin = 15, next = 28, face = 15, twin = 94
  [96] origin = 18, next = 92, face = 0, twin = 97
  [97] origin = 19, next = 21, face = 29, twin = 96
  [98] origin = 4, next = 136, face = 16, twin = 99
  [99] origin = 17, next = 19, face = 49, twin = 98
  [100] † origin = -1, next = -1, face = -1, twin = 101
  [101] † origin = -1, next = -1, face = -1, twin = 100
  [102] † origin = -1, next = -1, face = -1, twin = 103
  [103] † origin = -1, next = -1, face = -1, twin = 102
  [104] † origin = -1, next = -1, face = -1, twin = 105
  [105] † origin = -1, next = -1, face = -1, twin = 104
  [106] † origin = -1, next = -1, face = -1, twin = 107
  [107] † origin = -1, next = -1, face = -1, twin = 106
  [108] † origin = -1, next = -1, face = -1, twin = 109
  [109] † origin = -1, next = -1, face = -1, twin = 108
  [110] † origin = -1, next = -1, face = -1, twin = 111
  [111] † origin = -1, next = -1, face = -1, twin = 110
  [112] † origin = -1, next = -1, face = -1, twin = 113
  [113] † origin = -1, next = -1, face = -1, twin = 112
  [114] † origin = -1, next = -1, face = -1, twin = 115
  [115] † origin = -1, next = -1, face = -1, twin = 114
  [116] † origin = -1, next = -1, face = -1, twin = 117
  [117] † origin = -1, next = -1, face = -1, twin = 116
  [118] † origin = -1, next = -1, face = -1, twin = 119
  [119] † origin = -1, next = -1, face = -1, twin = 118
  [120] † origin = -1, next = -1, face = -1, twin = 121
  [121] † origin = -1, next = -1, face = -1, twin = 120
  [122] † origin = -1, next = -1, face = -1, twin = 123
  [123] † origin = -1, next = -1, face = -1, twin = 122
  [124] origin = 9, next = 96, face = 0, twin = 125
  [125] origin = 18, next = 126, face = 43, twin = 124
  [126] origin = 9, next = 27, face = 43, twin = 127
  [127] origin = -1, next = 75, face = 44, twin = 126
  [128] origin = 11, next = 127, face = 44, twin = 129
  [129] origin = -1, next = 133, face = 48, twin = 128
  [130] origin = 5, next = 65, face = 46, twin = 131
  [131] origin = 11, next = 8, face = 17, twin = 130
  [132] origin = 7, next = 131, face = 17, twin = 133
  [133] origin = 11, next = 135, face = 48, twin = 132
  [134] origin = -1, next = 15, face = 3, twin = 135
  [135] origin = 7, next = 129, face = 48, twin = 134
  [136] origin = 17, next = 0, face = 16, twin = 137
  [137] origin = -1, next = 139, face = 42, twin = 136
  [138] origin = 18, next = 31, face = 24, twin = 139
  [139] origin = 17, next = 26, face = 42, twin = 138
  [140] † origin = -1, next = -1, face = -1, twin = 141
  [141] † origin = -1, next = -1, face = -1, twin = 140

Faces:
  [0] half_edge = 96
    Vertices: 18 19 9 
    Half-Edges: 96 92 124 
  [1] half_edge = 94
    Vertices: 19 15 14 
    Half-Edges: 94 89 35 
  [2] † half_edge = 114
    Vertices: -1 
    Half-Edges: 114 
  [3] half_edge = 134
    Vertices: -1 7 6 
    Half-Edges: 134 15 68 
  [4] half_edge = 78
    Vertices: 8 15 12 
    Half-Edges: 78 77 55 
  [5] half_edge = 1
    Vertices: 4 -1 6 
    Half-Edges: 1 69 24 
  [6] half_edge = 9
    Vertices: 7 5 4 
    Half-Edges: 9 18 2 
  [7] half_edge = 6
    Vertices: 8 14 15 
    Half-Edges: 6 88 79 
  [8] half_edge = 74
    Vertices: 11 9 8 
    Half-Edges: 74 80 52 
  [9] half_edge = 3
    Vertices: 7 4 6 
    Half-Edges: 3 25 14 
  [10] half_edge = 38
    Vertices: 13 17 5 
    Half-Edges: 38 40 86 
  [11] † half_edge = 114
    Vertices: -1 
    Half-Edges: 114 
  [12] † half_edge = 114
    Vertices: -1 
    Half-Edges: 114 
  [13] half_edge = 81
    Vertices: 8 9 14 
    Half-Edges: 81 58 7 
  [14] † half_edge = 114
    Vertices: -1 
    Half-Edges: 114 
  [15] half_edge = 32
    Vertices: 16 15 19 
    Half-Edges: 32 95 28 
  [16] half_edge = 0
    Vertices: -1 4 17 
    Half-Edges: 0 98 136 
  [17] half_edge = 131
    Vertices: 11 5 7 
    Half-Edges: 131 8 132 
  [18] half_edge = 39
    Vertices: 17 13 16 
    Half-Edges: 39 22 30 
  [19] half_edge = 10
    Vertices: 15 13 12 
    Half-Edges: 10 73 76 
  [20] half_edge = 67
    Vertices: 12 10 8 
    Half-Edges: 67 51 54 
  [21] † half_edge = 114
    Vertices: -1 
    Half-Edges: 114 
  [22] half_edge = 23
    Vertices: 16 13 15 
    Half-Edges: 23 11 33 
  [23] † half_edge = 140
    Vertices: -1 
    Half-Edges: 140 
  [24] half_edge = 31
    Vertices: 17 16 18 
    Half-Edges: 31 20 138 
  [25] † half_edge = 114
    Vertices: -1 
    Half-Edges: 114 
  [26] half_edge = 64
    Vertices: 10 11 8 
    Half-Edges: 64 53 50 
  [27] † half_edge = 140
    Vertices: -1 
    Half-Edges: 140 
  [28] half_edge = 93
    Vertices: 9 19 14 
    Half-Edges: 93 34 59 
  [29] half_edge = 29
    Vertices: 16 19 18 
    Half-Edges: 29 97 21 
  [30] † half_edge = 114
    Vertices: -1 
    Half-Edges: 114 
  [31] † half_edge = 114
    Vertices: -1 
    Half-Edges: 114 
  [32] † half_edge = 114
    Vertices: -1 
    Half-Edges: 114 
  [33] † half_edge = 114
    Vertices: -1 
    Half-Edges: 114 
  [34] † half_edge = 114
    Vertices: -1 
    Half-Edges: 114 
  [35] † half_edge = 114
    Vertices: -1 
    Half-Edges: 114 
  [36] † half_edge = 114
    Vertices: -1 
    Half-Edges: 114 
  [37] † half_edge = 114
    Vertices: -1 
    Half-Edges: 114 
  [38] † half_edge = 140
    Vertices: -1 
    Half-Edges: 140 
  [39] † half_edge = 140
    Vertices: -1 
    Half-Edges: 140 
  [40] † half_edge = 140
    Vertices: -1 
    Half-Edges: 140 
  [41] † half_edge = 140
    Vertices: -1 
    Half-Edges: 140 
  [42] half_edge = 139
    Vertices: 17 18 -1 
    Half-Edges: 139 26 137 
  [43] half_edge = 125
    Vertices: 18 9 -1 
    Half-Edges: 125 126 27 
  [44] half_edge = 127
    Vertices: -1 9 11 
    Half-Edges: 127 75 128 
  [45] half_edge = 82
    Vertices: 10 13 5 
    Half-Edges: 82 87 4 
  [46] half_edge = 130
    Vertices: 5 11 10 
    Half-Edges: 130 65 5 
  [47] half_edge = 83
    Vertices: 13 10 12 
    Half-Edges: 83 66 72 
  [48] half_edge = 133
    Vertices: 11 7 -1 
    Half-Edges: 133 135 129 
  [49] half_edge = 41
    Vertices: 5 17 4 
    Half-Edges: 41 99 19 
Vertex incident half-edges:
 Outgoing edges from vertex 0:
 Outgoing edges from vertex 1:
 Outgoing edges from vertex 2:
 Outgoing edges from vertex 3:
 Outgoing edges from vertex 4:
  Half-edge 19 to vertex 5 in face 49
  Half-edge 2 to vertex 7 in face 6
  Half-edge 25 to vertex 6 in face 9
  Half-edge 1 to vertex -1 in face 5
  Half-edge 98 to vertex 17 in face 16
 Outgoing edges from vertex 5:
  Half-edge 86 to vertex 13 in face 10
  Half-edge 4 to vertex 10 in face 45
  Half-edge 130 to vertex 11 in face 46
  Half-edge 8 to vertex 7 in face 17
  Half-edge 18 to vertex 4 in face 6
  Half-edge 41 to vertex 17 in face 49
 Outgoing edges from vertex 6:
  Half-edge 14 to vertex 7 in face 9
  Half-edge 68 to vertex -1 in face 3
  Half-edge 24 to vertex 4 in face 5
 Outgoing edges from vertex 7:
  Half-edge 132 to vertex 11 in face 17
  Half-edge 135 to vertex -1 in face 48
  Half-edge 15 to vertex 6 in face 3
  Half-edge 3 to vertex 4 in face 9
  Half-edge 9 to vertex 5 in face 6
 Outgoing edges from vertex 8:
  Half-edge 6 to vertex 14 in face 7
  Half-edge 81 to vertex 9 in face 13
  Half-edge 52 to vertex 11 in face 8
  Half-edge 50 to vertex 10 in face 26
  Half-edge 54 to vertex 12 in face 20
  Half-edge 78 to vertex 15 in face 4
 Outgoing edges from vertex 9:
  Half-edge 58 to vertex 14 in face 13
  Half-edge 93 to vertex 19 in face 28
  Half-edge 124 to vertex 18 in face 0
  Half-edge 126 to vertex -1 in face 43
  Half-edge 75 to vertex 11 in face 44
  Half-edge 80 to vertex 8 in face 8
 Outgoing edges from vertex 10:
  Half-edge 51 to vertex 8 in face 20
  Half-edge 64 to vertex 11 in face 26
  Half-edge 5 to vertex 5 in face 46
  Half-edge 82 to vertex 13 in face 45
  Half-edge 66 to vertex 12 in face 47
 Outgoing edges from vertex 11:
  Half-edge 53 to vertex 8 in face 26
  Half-edge 74 to vertex 9 in face 8
  Half-edge 128 to vertex -1 in face 44
  Half-edge 133 to vertex 7 in face 48
  Half-edge 131 to vertex 5 in face 17
  Half-edge 65 to vertex 10 in face 46
 Outgoing edges from vertex 12:
  Half-edge 55 to vertex 8 in face 4
  Half-edge 67 to vertex 10 in face 20
  Half-edge 72 to vertex 13 in face 47
  Half-edge 76 to vertex 15 in face 19
 Outgoing edges from vertex 13:
  Half-edge 73 to vertex 12 in face 19
  Half-edge 83 to vertex 10 in face 47
  Half-edge 87 to vertex 5 in face 45
  Half-edge 38 to vertex 17 in face 10
  Half-edge 22 to vertex 16 in face 18
  Half-edge 11 to vertex 15 in face 22
 Outgoing edges from vertex 14:
  Half-edge 7 to vertex 8 in face 13
  Half-edge 88 to vertex 15 in face 7
  Half-edge 35 to vertex 19 in face 1
  Half-edge 59 to vertex 9 in face 28
 Outgoing edges from vertex 15:
  Half-edge 33 to vertex 16 in face 22
  Half-edge 95 to vertex 19 in face 15
  Half-edge 89 to vertex 14 in face 1
  Half-edge 79 to vertex 8 in face 7
  Half-edge 77 to vertex 12 in face 4
  Half-edge 10 to vertex 13 in face 19
 Outgoing edges from vertex 16:
  Half-edge 30 to vertex 17 in face 18
  Half-edge 20 to vertex 18 in face 24
  Half-edge 29 to vertex 19 in face 29
  Half-edge 32 to vertex 15 in face 15
  Half-edge 23 to vertex 13 in face 22
 Outgoing edges from vertex 17:
  Half-edge 136 to vertex -1 in face 16
  Half-edge 139 to vertex 18 in face 42
  Half-edge 31 to vertex 16 in face 24
  Half-edge 39 to vertex 13 in face 18
  Half-edge 40 to vertex 5 in face 10
  Half-edge 99 to vertex 4 in face 49
 Outgoing edges from vertex 18:
  Half-edge 138 to vertex 17 in face 24
  Half-edge 26 to vertex -1 in face 42
  Half-edge 125 to vertex 9 in face 43
  Half-edge 96 to vertex 19 in face 0
  Half-edge 21 to vertex 16 in face 29
 Outgoing edges from vertex 19:
  Half-edge 28 to vertex 16 in face 15
  Half-edge 97 to vertex 18 in face 29
  Half-edge 92 to vertex 9 in face 0
  Half-edge 34 to vertex 14 in face 28
  Half-edge 94 to vertex 15 in face 1
